quantity,unitMax,sendToAdministrator,price,totalPrice,date,optionUnit,unit,customer,unitIndividual,pricePerUnit,idProductList,productName,dateRegister
4,,True,1,10.0,2024-08-27,"['UNIDAD', 'CAJA']",0,,48,2.5,NFBKbTODCUZh1VarxViN,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-08-27 16:26:55.910000+00:00
12,,True,1,8.4,2024-05-25,"['UNIDAD', 'SACO']",0,,60,0.7000000000000001,uYll7gXC8rys3g1UFKfn,DETERGENTE HUAYU,2024-05-25 17:28:02.030000+00:00
6,,True,39,4.0,2024-09-15,"['UNIDAD', 'SACO', '']",0,,60,0.6666666666666666,N5Fp8xnQEvSYhTD1COgv,DETERGENTE TROME,2024-09-15 14:49:01.921000+00:00
6,,True,1,13.0,2024-01-16,"['UNIDAD', 'CAJA']",0,,48,2.1666666666666665,J4cfPb6quXrceJdCyDSn,GRATED DE JUREL LYDEMAR EN ACEITE VEGETAL,2024-01-16 16:56:40.187000+00:00
2,,True,1,9.6,2024-05-14,"['UNIDAD', 'CAJA']",0,,12,4.8,2fLvFhKOJWmv6IyiLsgs,ACEITE PURASELVA 1 LT,2024-05-14 17:10:40.393000+00:00
6,,True,1,17.0,2024-11-03,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,NBx9WlaN97X3wCsGjBTu,FILETE DE CABALLA P-RUVIAN MAR EN ACEITE VEGETAL,2024-11-03 16:28:41.227000+00:00
12,,True,1,34.0,2024-01-14,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,p49nwMCX1BAiyXRWkY8H,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-01-14 16:59:29.705000+00:00
6,,True,1,23.0,2024-05-30,"['UNIDAD', 'CAJA']",0,,24,3.8333333333333335,WPNWido4X9pLuEnO5Grt,OVAL DE JUREL LYDEMAR,2024-05-30 17:46:04.664000+00:00
2,,True,1,10.0,2023-11-28,"['UNIDAD', 'CAJA']",0,,12,5,YPU0kTVnPGHLCyYugcfb,LAVAVAJILLA LESLI 1 KG,2023-11-28 16:28:04.763000+00:00
4,,True,1,10.0,2024-10-28,"['UNIDAD', 'CAJA']",0,,48,2.5,NFBKbTODCUZh1VarxViN,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-10-28 16:56:32.856000+00:00
4,,True,1,10.0,2024-03-28,"['UNIDAD', 'CAJA']",0,,48,2.5,CT7FbHVBovQuAcwZ5R9N,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-03-28 16:34:32.855000+00:00
1,100,True,6,6.0,2024-03-25,"['UNIDAD', 'BOLSA', 'PAQUETE']",1,,25,6,QzwdwAKrlRDJ8tsfqpqX,LEJIA LYDEMAR,2024-03-25 17:57:17.920000+00:00
1,,True,1,5.0,2024-03-14,"['BOLSA', 'SACO']",0,,16,5,hTWa6q6lYYzX25Rg10lw,LEJIA SHIROI (4PAQUETES POR SACO)(1 PAQUETE TIENE 4 BOLSAS),2024-03-14 17:16:48.509000+00:00
12,,True,0,23.0,2023-10-28,"['UNIDAD', 'CAJA']",0,,48,1.9166666666666667,RoDirWKFuXpfhSUdyHCR,TINAPON P-RUVIAN MAR EN SALSA DE TOMATE,2023-10-28 16:17:33.740000+00:00
1,,True,1,5.0,2024-04-05,"['UNIDAD', 'CAJA']",0,,12,5,YPU0kTVnPGHLCyYugcfb,LAVAVAJILLA LESLI 1 KG,2024-04-05 17:25:26.523000+00:00
6,,True,26,6.5,2024-06-17,"['UNIDAD', 'CAJA']",0,,24,1.0833333333333333,dhd9JHBMgMwValLqmyey,LAVAVAJILLA QMASTER 180 GR,2024-06-17 17:14:27.890000+00:00
10,,True,3.5,6.0,2024-10-16,"['UNIDAD', 'PAQUETE']",0,,5,0.6,A7fle8FBc2bI6tjwCKKh,AFEITADOR,2024-10-16 18:15:31.605000+00:00
